"Cabernet Sauvignon","{'Count': 1148, 'Attributes': {u'Big &amp; Bold': 516, u'Smooth &amp; Supple': 267, u'Light &amp; Fruity': 1, u'Earthy &amp; Spicy': 30}, 'WineType': {u'Red Wines': 1148}}"
"Bordeaux Red Blends","{'Count': 708, 'Attributes': {u'Big &amp; Bold': 354, u'Smooth &amp; Supple': 97, u'Earthy &amp; Spicy': 32}, 'WineType': {u'Red Wines': 708}}"
"Chenin Blanc","{'Count': 77, 'Attributes': {u'Rich &amp; Creamy': 2, u'Light &amp; Crisp': 18, u'Fruity &amp; Smooth': 29}, 'WineType': {u'White Wines': 77}}"
"Rosé","{'Count': 349, 'Attributes': {u'Light &amp; Crisp': 2, u'Earthy &amp; Spicy': 1}, 'WineType': {u'Ros\xe9 Wine': 223, u'Champagne & Sparkling': 126}}"
"Bordeaux White Blends","{'Count': 41, 'Attributes': {u'Rich &amp; Creamy': 1, u'Light &amp; Crisp': 10, u'Fruity &amp; Smooth': 14}, 'WineType': {u'White Wines': 41}}"
"Vintage","{'Count': 119, 'Attributes': {u'Light &amp; Crisp': 1}, 'WineType': {u'Champagne & Sparkling': 119}}"
"Zinfandel","{'Count': 232, 'Attributes': {u'Big &amp; Bold': 94, u'Smooth &amp; Supple': 52, u'Light &amp; Fruity': 1, u'Earthy &amp; Spicy': 33}, 'WineType': {u'Red Wines': 232}}"
"Rhone Red Blends","{'Count': 275, 'Attributes': {u'Big &amp; Bold': 53, u'Smooth &amp; Supple': 78, u'Light &amp; Fruity': 8, u'Earthy &amp; Spicy': 56}, 'WineType': {u'Red Wines': 275}}"
"Merlot","{'Count': 233, 'Attributes': {u'Big &amp; Bold': 46, u'Smooth &amp; Supple': 110, u'Earthy &amp; Spicy': 4}, 'WineType': {u'Red Wines': 233}}"
"Syrah/Shiraz","{'Count': 391, 'Attributes': {u'Big &amp; Bold': 134, u'Smooth &amp; Supple': 88, u'Earthy &amp; Spicy': 71}, 'WineType': {u'Red Wines': 391}}"
"Sauvignon Blanc","{'Count': 440, 'Attributes': {u'Rich &amp; Creamy': 2, u'Light &amp; Crisp': 262, u'Fruity &amp; Smooth': 64}, 'WineType': {u'White Wines': 440}}"
"Other Dessert","{'Count': 79, 'Attributes': {}, 'WineType': {u'Dessert, Fortified & Fruit Wines': 79}}"
"Dolcetto","{'Count': 18, 'Attributes': {u'Big &amp; Bold': 1, u'Smooth &amp; Supple': 13, u'Light &amp; Fruity': 3}, 'WineType': {u'Red Wines': 18}}"
"Sherry","{'Count': 42, 'Attributes': {}, 'WineType': {u'Dessert, Fortified & Fruit Wines': 42}}"
"Gewurztraminer","{'Count': 36, 'Attributes': {u'Rich &amp; Creamy': 1, u'Light &amp; Crisp': 11, u'Fruity &amp; Smooth': 11}, 'WineType': {u'White Wines': 36}}"
"Sangiovese","{'Count': 316, 'Attributes': {u'Big &amp; Bold': 86, u'Smooth &amp; Supple': 98, u'Light &amp; Fruity': 5, u'Earthy &amp; Spicy': 30}, 'WineType': {u'Red Wines': 316}}"
"Muscat","{'Count': 59, 'Attributes': {u'Rich &amp; Creamy': 1, u'Light &amp; Crisp': 4, u'Fruity &amp; Smooth': 26}, 'WineType': {u'White Wines': 59}}"
"Pinot Blanc","{'Count': 27, 'Attributes': {u'Light &amp; Crisp': 9, u'Fruity &amp; Smooth': 11}, 'WineType': {u'White Wines': 27}}"
"Other Red Wine","{'Count': 194, 'Attributes': {u'Big &amp; Bold': 34, u'Smooth &amp; Supple': 64, u'Light &amp; Fruity': 5, u'Fruity &amp; Smooth': 2, u'Earthy &amp; Spicy': 24}, 'WineType': {u'Red Wines': 194}}"
"Torrontes","{'Count': 22, 'Attributes': {u'Light &amp; Crisp': 6, u'Fruity &amp; Smooth': 5}, 'WineType': {u'White Wines': 22}}"
"Nebbiolo","{'Count': 150, 'Attributes': {u'Big &amp; Bold': 67, u'Smooth &amp; Supple': 24, u'Light &amp; Fruity': 5, u'Earthy &amp; Spicy': 16}, 'WineType': {u'Red Wines': 150}}"
"Vermouth","{'Count': 10, 'Attributes': {}, 'WineType': {u'Dessert, Fortified & Fruit Wines': 10}}"
"Gruner Veltliner","{'Count': 27, 'Attributes': {u'Light &amp; Crisp': 11, u'Fruity &amp; Smooth': 5}, 'WineType': {u'White Wines': 27}}"
"Junmai","{'Count': 10, 'Attributes': {}, 'WineType': {u'Sake': 10}}"
"Semillon","{'Count': 7, 'Attributes': {u'Light &amp; Crisp': 4, u'Fruity &amp; Smooth': 2}, 'WineType': {u'White Wines': 7}}"
"Tempranillo","{'Count': 205, 'Attributes': {u'Big &amp; Bold': 43, u'Smooth &amp; Supple': 65, u'Light &amp; Fruity': 3, u'Earthy &amp; Spicy': 38}, 'WineType': {u'Red Wines': 205}}"
"Riesling","{'Count': 228, 'Attributes': {u'Rich &amp; Creamy': 1, u'Light &amp; Crisp': 73, u'Fruity &amp; Smooth': 74}, 'WineType': {u'White Wines': 228}}"
"Viognier","{'Count': 45, 'Attributes': {u'Smooth &amp; Supple': 1, u'Light &amp; Crisp': 9, u'Fruity &amp; Smooth': 21, u'Rich &amp; Creamy': 2}, 'WineType': {u'White Wines': 45}}"
"White Zinfandel","{'Count': 4, 'Attributes': {}, 'WineType': {u'Ros\xe9 Wine': 4}}"
"Cabernet Franc","{'Count': 54, 'Attributes': {u'Big &amp; Bold': 5, u'Smooth &amp; Supple': 27, u'Light &amp; Fruity': 1, u'Earthy &amp; Spicy': 8}, 'WineType': {u'Red Wines': 54}}"
"Grenache","{'Count': 93, 'Attributes': {u'Big &amp; Bold': 18, u'Smooth &amp; Supple': 25, u'Light &amp; Fruity': 4, u'Earthy &amp; Spicy': 15}, 'WineType': {u'Red Wines': 93}}"
"Petite Sirah","{'Count': 56, 'Attributes': {u'Big &amp; Bold': 31, u'Smooth &amp; Supple': 3, u'Earthy &amp; Spicy': 5}, 'WineType': {u'Red Wines': 56}}"
"Madeira","{'Count': 11, 'Attributes': {}, 'WineType': {u'Dessert, Fortified & Fruit Wines': 11}}"
"Nero d'Avola","{'Count': 24, 'Attributes': {u'Big &amp; Bold': 4, u'Smooth &amp; Supple': 13, u'Earthy &amp; Spicy': 1}, 'WineType': {u'Red Wines': 24}}"
"Other White Blends","{'Count': 159, 'Attributes': {u'Rich &amp; Creamy': 4, u'Light &amp; Crisp': 48, u'Fruity &amp; Smooth': 52}, 'WineType': {u'White Wines': 159}}"
"Pinot Noir","{'Count': 982, 'Attributes': {u'Light &amp; Fruity': 67, u'Smooth &amp; Supple': 494, u'Earthy &amp; Spicy': 134, u'Big &amp; Bold': 36}, 'WineType': {u'Red Wines': 982}}"
"Chardonnay","{'Count': 900, 'Attributes': {u'Rich &amp; Creamy': 238, u'Light &amp; Crisp': 133, u'Fruity &amp; Smooth': 268}, 'WineType': {u'White Wines': 900}}"
"Albarino","{'Count': 42, 'Attributes': {u'Light &amp; Crisp': 21, u'Fruity &amp; Smooth': 13}, 'WineType': {u'White Wines': 42}}"
"Liqueur","{'Count': 1, 'Attributes': {}, 'WineType': {u'Liqueur': 1}}"
"Pinot Gris/Grigio","{'Count': 178, 'Attributes': {u'Rich &amp; Creamy': 4, u'Light &amp; Crisp': 72, u'Fruity &amp; Smooth': 54}, 'WineType': {u'White Wines': 178}}"
